epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31222,0.02714,1.94957,0.77893,0.03742,0.46528,0.28797,0.07075,0.0239,2.95071,0.71384,0.000326667,0.000326667,0.06766
2,15.6347,0.02561,1.44293,0.73576,0.49862,0.51527,0.37206,0.09809,0.02135,1.81322,0.70033,0.000656733,0.000656733,0.0346567
3,21.2624,0.02564,1.37165,0.72038,0.47692,0.48238,0.31332,0.07506,0.02244,1.1828,0.70266,0.000983499,0.000983499,0.00165017
4,27.1818,0.02509,1.32838,0.72282,0.4652,0.43782,0.27167,0.0593,0.02344,1.18924,0.7155,0.00098515,0.00098515,0.00098515
5,33.2868,0.02479,1.29536,0.71968,0.53389,0.5057,0.36916,0.09303,0.02188,1.18178,0.69713,0.0009802,0.0009802,0.0009802
6,39.676,0.02459,1.27976,0.7134,0.42187,0.38031,0.22648,0.04794,0.02418,1.30056,0.70582,0.00097525,0.00097525,0.00097525
7,45.6676,0.02415,1.25949,0.71751,0.56107,0.47952,0.38393,0.08741,0.02228,1.13976,0.70137,0.0009703,0.0009703,0.0009703
8,51.7523,0.0238,1.25677,0.72416,0.45117,0.44093,0.25563,0.05751,0.02324,1.3986,0.7165,0.00096535,0.00096535,0.00096535
9,57.6499,0.02442,1.26013,0.71598,0.59424,0.5544,0.44409,0.11548,0.02089,1.08831,0.69261,0.0009604,0.0009604,0.0009604
10,63.7332,0.02408,1.2355,0.71508,0.34715,0.37443,0.19764,0.03724,0.0239,1.17118,0.70005,0.00095545,0.00095545,0.00095545
11,69.3026,0.02384,1.18843,0.70029,0.48075,0.44249,0.28733,0.05847,0.02317,1.16524,0.70809,0.0009505,0.0009505,0.0009505
12,74.5385,0.02339,1.22226,0.71721,0.39906,0.40933,0.21073,0.039,0.02429,1.33905,0.70847,0.00094555,0.00094555,0.00094555
13,80.3851,0.02382,1.219,0.70288,0.4749,0.43316,0.27275,0.05052,0.02374,1.17416,0.70262,0.0009406,0.0009406,0.0009406
14,86.5002,0.0234,1.21409,0.70592,0.51076,0.45544,0.32804,0.07097,0.02265,1.13771,0.69651,0.00093565,0.00093565,0.00093565
15,92.7684,0.02402,1.19847,0.69559,0.51015,0.50237,0.3295,0.06849,0.02293,1.11282,0.70974,0.0009307,0.0009307,0.0009307
16,98.9885,0.02342,1.18644,0.69387,0.44409,0.44145,0.26067,0.05336,0.02326,1.25416,0.71013,0.00092575,0.00092575,0.00092575
