epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.58113,0.02749,2.32793,0.82273,0.00783,0.11339,0.01911,0.00675,0.03099,3.17711,0.75838,0.00328042,0.00328042,0.0704762
2,16.7362,0.02738,1.72938,0.74911,0.16622,0.13329,0.0555,0.01096,0.02892,1.84092,0.70963,0.00660066,0.00660066,0.0404631
3,23.7848,0.02888,1.82301,0.77846,0.15444,0.06333,0.02692,0.00708,0.03137,1.97982,0.69248,0.0099077,0.0099077,0.0104368
4,30.7087,0.03097,2.24487,0.78955,0.06187,0.08082,0.00704,0.00114,0.03229,2.40586,0.72012,0.0099406,0.0099406,0.0099406
5,37.8914,0.02979,1.92087,0.752,0.23056,0.05489,0.03905,0.01022,0.0337,3.77139,0.75647,0.0099208,0.0099208,0.0099208
6,44.7528,0.02775,1.78868,0.74657,0.05471,0.09349,0.01232,0.00224,0.03232,3.05091,0.71391,0.009901,0.009901,0.009901
7,51.7386,0.02663,1.63681,0.74685,0.02861,0.08082,0.00342,0.00059,0.03325,2.89608,0.72874,0.0098812,0.0098812,0.0098812
8,58.3255,0.0265,1.63486,0.72778,0.02289,0.06092,0.00168,0.00038,0.03522,3.43105,0.80044,0.0098614,0.0098614,0.0098614
9,64.9759,0.027,1.57598,0.73413,0.027,0.06273,0.00405,0.00063,0.03483,2.29697,0.80116,0.0098416,0.0098416,0.0098416
10,71.8898,0.02644,1.48121,0.73149,0.09398,0.16224,0.02175,0.00337,0.0297,1.48008,0.68827,0.0098218,0.0098218,0.0098218
11,78.9952,0.02597,1.50403,0.73127,0.19401,0.17431,0.07542,0.01301,0.02874,1.40455,0.67172,0.009802,0.009802,0.009802
12,85.4775,0.02555,1.53054,0.72534,0.19683,0.16948,0.08727,0.01877,0.02831,1.32278,0.6787,0.0097822,0.0097822,0.0097822
13,92.7639,0.02452,1.37298,0.7144,0.41746,0.37334,0.24647,0.04573,0.025,1.22375,0.65737,0.0097624,0.0097624,0.0097624
14,99.5262,0.02538,1.38679,0.71711,0.12538,0.0953,0.04287,0.00831,0.02995,1.63658,0.68844,0.0097426,0.0097426,0.0097426
15,106.317,0.02635,1.4163,0.71819,0.29667,0.32946,0.19596,0.0509,0.02501,1.29431,0.65857,0.0097228,0.0097228,0.0097228
16,113.007,0.02593,1.38149,0.7324,0.19012,0.18456,0.08371,0.01393,0.02827,1.41769,0.67452,0.009703,0.009703,0.009703
17,119.441,0.02477,1.29717,0.71866,0.0815,0.07298,0.01471,0.00199,0.03173,1.45742,0.71155,0.0096832,0.0096832,0.0096832
18,126.504,0.02704,1.43331,0.70883,0.50606,0.38601,0.3442,0.08615,0.02334,1.14381,0.64981,0.0096634,0.0096634,0.0096634
