epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6594,0.01452,1.50368,0.95833,0.58619,0.31256,0.29474,0.06133,0.02302,2.08003,0.97437,0.0032963,0.0032963,0.0703333
2,51.5763,0.0134,1.09199,0.90505,0.8814,0.86611,0.89968,0.36312,0.01376,1.15418,0.79829,0.0066165,0.0066165,0.0403202
3,71.0781,0.01355,1.08021,0.90632,0.87224,0.86463,0.88107,0.36636,0.01383,2.13518,0.79276,0.00992351,0.00992351,0.0102939
4,90.1614,0.01338,1.05423,0.90222,0.65281,0.64702,0.53187,0.1262,0.01952,2.1931,0.88687,0.0099406,0.0099406,0.0099406
5,109.443,0.01322,1.0045,0.89426,0.666,0.64678,0.50621,0.11768,0.01954,1.65462,0.8912,0.0099208,0.0099208,0.0099208
6,128.394,0.013,0.97512,0.88984,0.86165,0.86637,0.91077,0.38957,0.01324,0.94257,0.7955,0.009901,0.009901,0.009901
7,147.614,0.01274,0.95061,0.88572,0.91217,0.88346,0.91789,0.43805,0.01223,0.79789,0.79442,0.0098812,0.0098812,0.0098812
8,166.795,0.0126,0.93731,0.88363,0.86199,0.89525,0.88568,0.38862,0.01239,0.77612,0.78615,0.0098614,0.0098614,0.0098614
9,186.248,0.01249,0.92353,0.88104,0.87297,0.87167,0.90259,0.40343,0.01279,0.82909,0.80239,0.0098416,0.0098416,0.0098416
10,205.411,0.01248,0.91704,0.88131,0.90346,0.88818,0.91424,0.38336,0.01354,0.87615,0.80734,0.0098218,0.0098218,0.0098218
11,224.84,0.01231,0.91705,0.8803,0.9152,0.89693,0.927,0.42484,0.01228,0.79959,0.79103,0.009802,0.009802,0.009802
12,244.186,0.0123,0.90746,0.87716,0.90788,0.87875,0.91997,0.44766,0.01208,0.79007,0.78653,0.0097822,0.0097822,0.0097822
13,263.702,0.01232,0.90755,0.87702,0.89093,0.92051,0.92104,0.39329,0.01282,0.80293,0.7919,0.0097624,0.0097624,0.0097624
14,283.115,0.01224,0.89971,0.87663,0.89814,0.90064,0.91975,0.40159,0.01275,0.82029,0.79286,0.0097426,0.0097426,0.0097426
15,302.501,0.01218,0.89667,0.87463,0.93666,0.9015,0.9501,0.46096,0.01173,0.7387,0.78386,0.0097228,0.0097228,0.0097228
16,321.903,0.01221,0.89025,0.87473,0.92643,0.91445,0.94171,0.43941,0.01207,0.75502,0.78851,0.009703,0.009703,0.009703
17,341.148,0.01212,0.89033,0.8734,0.90901,0.88498,0.89847,0.3483,0.01406,0.84421,0.80946,0.0096832,0.0096832,0.0096832
18,360.443,0.01209,0.89121,0.87402,0.93738,0.91766,0.94853,0.45257,0.01187,0.73535,0.78661,0.0096634,0.0096634,0.0096634
19,379.755,0.01195,0.86675,0.87372,0.91873,0.92903,0.95637,0.45898,0.01157,0.7211,0.78712,0.0096436,0.0096436,0.0096436
20,399.067,0.01201,0.87017,0.87215,0.92912,0.9228,0.95774,0.47209,0.01174,0.73219,0.78402,0.0096238,0.0096238,0.0096238
21,418.565,0.01193,0.87092,0.87251,0.92125,0.91012,0.94063,0.42815,0.01266,0.78453,0.79943,0.009604,0.009604,0.009604
22,439.486,0.01196,0.87768,0.87171,0.91948,0.90771,0.92706,0.38371,0.0129,0.77182,0.79329,0.0095842,0.0095842,0.0095842
