epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6698,0.01424,1.37984,0.96402,0.77989,0.77571,0.70774,0.19741,0.01737,0.99515,0.87217,0.0032967,0.0032967,0.0703297
2,73.0611,0.01289,1.07479,0.89145,0.65142,0.69249,0.51177,0.11546,0.01938,3.25263,0.86865,0.00660816,0.00660816,0.0403078
3,106.603,0.01342,1.06017,0.89445,0.80997,0.75942,0.75237,0.24014,0.01595,3.83853,0.81902,0.00989761,0.00989761,0.0102639
4,139.479,0.01358,1.02961,0.89675,0.71618,0.82272,0.68647,0.23615,0.01481,3.1183,0.80461,0.009901,0.009901,0.009901
5,171.892,0.01307,0.98501,0.89066,0.88007,0.86426,0.87211,0.34754,0.01379,1.23212,0.80127,0.009868,0.009868,0.009868
6,204.318,0.01293,0.95825,0.88716,0.89711,0.90569,0.90852,0.40231,0.01241,0.9015,0.7875,0.009835,0.009835,0.009835
7,236.761,0.01262,0.94087,0.88192,0.86912,0.89929,0.8926,0.39751,0.01236,0.83091,0.78421,0.009802,0.009802,0.009802
8,269.054,0.01258,0.93077,0.88146,0.90772,0.85584,0.92244,0.40651,0.01327,0.83875,0.80905,0.009769,0.009769,0.009769
9,301.385,0.01239,0.91306,0.87711,0.87291,0.86054,0.85724,0.30751,0.01449,0.9383,0.80315,0.009736,0.009736,0.009736
10,336.592,0.01232,0.9071,0.87719,0.89749,0.89648,0.8959,0.3654,0.01331,0.77622,0.79902,0.009703,0.009703,0.009703
11,368.989,0.01228,0.90132,0.87575,0.89885,0.87393,0.87821,0.32265,0.01421,0.79059,0.80942,0.00967,0.00967,0.00967
12,401.364,0.01222,0.89725,0.87324,0.91493,0.89693,0.9393,0.39992,0.01271,0.77799,0.78322,0.009637,0.009637,0.009637
13,433.635,0.01216,0.8905,0.87167,0.91565,0.91044,0.94177,0.42577,0.0124,0.76182,0.79007,0.009604,0.009604,0.009604
14,465.854,0.01221,0.89721,0.87249,0.919,0.90468,0.93083,0.39451,0.01299,0.82027,0.79946,0.009571,0.009571,0.009571
15,497.971,0.01199,0.88108,0.87099,0.92883,0.888,0.93989,0.45686,0.01162,0.7496,0.78367,0.009538,0.009538,0.009538
16,530.26,0.01209,0.88305,0.87012,0.91486,0.92287,0.93015,0.41899,0.01227,0.74462,0.78536,0.009505,0.009505,0.009505
17,562.582,0.0121,0.87719,0.86831,0.92095,0.92354,0.95766,0.47677,0.01145,0.7231,0.78194,0.009472,0.009472,0.009472
18,595.088,0.01189,0.86312,0.86828,0.89205,0.87949,0.86438,0.32016,0.01405,0.79695,0.80708,0.009439,0.009439,0.009439
19,627.405,0.01193,0.87123,0.86803,0.91635,0.91613,0.91958,0.36356,0.01335,0.78067,0.7971,0.009406,0.009406,0.009406
20,659.684,0.01186,0.86116,0.86561,0.91806,0.92457,0.95615,0.44848,0.01188,0.73951,0.78132,0.009373,0.009373,0.009373
21,693.005,0.0119,0.86519,0.86756,0.9191,0.93369,0.9541,0.43601,0.01201,0.7429,0.7828,0.00934,0.00934,0.00934
22,725.318,0.01187,0.86574,0.86597,0.92381,0.92018,0.94314,0.40418,0.01271,0.77947,0.79122,0.009307,0.009307,0.009307
23,757.712,0.01182,0.85602,0.8652,0.92391,0.92287,0.94381,0.41543,0.01274,0.75732,0.79542,0.009274,0.009274,0.009274
24,790.043,0.01178,0.84626,0.86489,0.93047,0.93755,0.95839,0.4242,0.01245,0.75531,0.78747,0.009241,0.009241,0.009241
25,822.619,0.01186,0.85615,0.86506,0.92698,0.91508,0.9483,0.40601,0.01261,0.7391,0.79182,0.009208,0.009208,0.009208
