epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1162,0.04387,1.88591,1.92762,0.70887,0.66263,0.62192,0.17337,0.0347,1.36673,1.24778,0.00331502,0.00331502,0.0701648
2,76.2116,0.02738,1.1906,1.23103,0.80651,0.83159,0.85646,0.33739,0.02507,1.876,1.00866,0.00663519,0.00663519,0.0401517
3,115.897,0.02641,1.18461,1.19315,0.79992,0.8262,0.8208,0.31266,0.02488,1.75808,1.00394,0.00994216,0.00994216,0.0101253
4,175.551,0.02625,1.18429,1.17413,0.7153,0.72112,0.66403,0.18108,0.032,1.54052,1.15555,0.0099406,0.0099406,0.0099406
5,211.729,0.02509,1.13108,1.14203,0.8443,0.82924,0.84734,0.31094,0.0268,1.05495,1.03078,0.0099208,0.0099208,0.0099208
6,247.61,0.02477,1.09044,1.13117,0.85639,0.84237,0.88211,0.32633,0.02695,1.14344,1.03604,0.009901,0.009901,0.009901
7,296.006,0.02471,1.06347,1.12566,0.8715,0.89319,0.90729,0.37919,0.02429,0.97096,0.98098,0.0098812,0.0098812,0.0098812
8,332.269,0.02447,1.05234,1.12018,0.91597,0.88077,0.93978,0.42656,0.02326,0.87235,0.96633,0.0098614,0.0098614,0.0098614
9,367.854,0.02435,1.03315,1.11501,0.92749,0.8918,0.95053,0.45547,0.02225,0.87037,0.95739,0.0098416,0.0098416,0.0098416
10,403.915,0.02413,1.01567,1.112,0.86066,0.90502,0.90254,0.36375,0.02512,1.00966,0.99363,0.0098218,0.0098218,0.0098218
11,439.626,0.02411,1.01395,1.10903,0.90389,0.90911,0.92872,0.39433,0.02385,0.91474,0.96755,0.009802,0.009802,0.009802
12,475.779,0.02387,1.0048,1.10285,0.92198,0.91943,0.96131,0.43352,0.02319,0.85759,0.96499,0.0097822,0.0097822,0.0097822
13,511.944,0.02399,0.99562,1.10135,0.93166,0.90457,0.96211,0.47568,0.02207,0.85694,0.94921,0.0097624,0.0097624,0.0097624
14,552.245,0.02391,0.99909,1.10261,0.90485,0.92927,0.95923,0.44515,0.02257,0.86937,0.95765,0.0097426,0.0097426,0.0097426
15,588.025,0.02381,0.99923,1.09691,0.91309,0.9059,0.93604,0.41209,0.02342,0.91344,0.95951,0.0097228,0.0097228,0.0097228
16,632.949,0.02377,0.99064,1.09982,0.9014,0.90223,0.93225,0.39826,0.0243,0.96217,0.97694,0.009703,0.009703,0.009703
17,668.541,0.02342,0.97545,1.09116,0.92578,0.9159,0.96005,0.43001,0.02313,0.86367,0.95177,0.0096832,0.0096832,0.0096832
18,723.388,0.02357,0.97391,1.08833,0.91865,0.90637,0.94929,0.43039,0.02295,0.85021,0.95926,0.0096634,0.0096634,0.0096634
19,759.506,0.02344,0.97645,1.09548,0.87263,0.89075,0.88929,0.32856,0.0266,1.02528,1.01938,0.0096436,0.0096436,0.0096436
20,794.969,0.0235,0.96699,1.09213,0.92688,0.92221,0.94802,0.42991,0.02328,0.85288,0.95835,0.0096238,0.0096238,0.0096238
21,830.403,0.02338,0.96756,1.08833,0.93811,0.92404,0.96697,0.44811,0.0227,0.82711,0.94842,0.009604,0.009604,0.009604
22,866.473,0.02345,0.97202,1.09061,0.89617,0.90115,0.9219,0.37361,0.0254,0.969,0.99759,0.0095842,0.0095842,0.0095842
