epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3745,1.52934,1.81066,1.8138,0.60036,0.67323,0.54821,0.15537,1.27049,1.81175,1.25426,0.00331502,0.00331502,0.0701648
2,94.7953,1.07114,1.18482,1.22334,0.81998,0.83879,0.88672,0.44235,0.85587,1.03183,0.98978,0.00662202,0.00662202,0.0401385
3,131.038,1.05387,1.18454,1.19889,0.80941,0.78071,0.83366,0.32886,0.97352,1.12479,1.07608,0.00990263,0.00990263,0.0100858
4,191.5,1.03821,1.14799,1.17405,0.89069,0.89586,0.93886,0.4526,0.85264,0.97435,0.99137,0.0098812,0.0098812,0.0098812
5,229.644,1.01134,1.10666,1.15676,0.90906,0.88218,0.94655,0.47591,0.8423,0.93082,0.98088,0.0098416,0.0098416,0.0098416
6,267.857,0.99679,1.06631,1.14382,0.92533,0.87695,0.93873,0.44676,0.92959,1.07253,1.02555,0.009802,0.009802,0.009802
7,319.319,0.98681,1.04466,1.13298,0.93137,0.91505,0.95545,0.4825,0.85239,0.8521,0.98885,0.0097624,0.0097624,0.0097624
8,356.112,0.97709,1.02999,1.12656,0.93554,0.88251,0.93943,0.45066,0.88313,0.83827,0.99908,0.0097228,0.0097228,0.0097228
9,392.943,0.96899,1.00502,1.11932,0.93078,0.89761,0.96882,0.50769,0.81408,0.8406,0.9651,0.0096832,0.0096832,0.0096832
10,429.546,0.96454,0.99479,1.11879,0.93325,0.92868,0.96951,0.49459,0.84556,0.82985,0.97848,0.0096436,0.0096436,0.0096436
11,465.37,0.96044,0.98642,1.11351,0.93627,0.91209,0.96844,0.50847,0.80883,0.79893,0.95623,0.009604,0.009604,0.009604
12,503.221,0.95469,0.9747,1.10911,0.93459,0.91355,0.96826,0.47743,0.83926,0.81384,0.96663,0.0095644,0.0095644,0.0095644
13,540.487,0.95895,0.97257,1.10732,0.95326,0.90521,0.97093,0.51907,0.78599,0.78196,0.95105,0.0095248,0.0095248,0.0095248
14,584.732,0.95461,0.97643,1.10802,0.92649,0.90445,0.95253,0.46688,0.8716,0.83881,0.984,0.0094852,0.0094852,0.0094852
15,621.9,0.95265,0.97897,1.1038,0.94884,0.91155,0.976,0.5138,0.79458,0.76801,0.95019,0.0094456,0.0094456,0.0094456
16,676.253,0.95048,0.97091,1.10626,0.94375,0.89352,0.96609,0.50072,0.82462,0.80469,0.96383,0.009406,0.009406,0.009406
17,712.313,0.93847,0.95644,1.09884,0.93225,0.93238,0.97641,0.4896,0.81924,0.81006,0.95549,0.0093664,0.0093664,0.0093664
18,764.559,0.94363,0.95453,1.09495,0.94936,0.92056,0.97959,0.51295,0.79964,0.78536,0.94923,0.0093268,0.0093268,0.0093268
19,802.715,0.93889,0.95439,1.10164,0.93375,0.92323,0.9703,0.49751,0.82632,0.8102,0.96087,0.0092872,0.0092872,0.0092872
20,839.128,0.94085,0.9417,1.09928,0.93376,0.93224,0.97513,0.50034,0.82452,0.78375,0.95731,0.0092476,0.0092476,0.0092476
21,875.56,0.93674,0.94613,1.09617,0.9403,0.91994,0.96854,0.49378,0.84081,0.80366,0.97054,0.009208,0.009208,0.009208
22,912.194,0.93969,0.95027,1.09775,0.94135,0.9215,0.97323,0.49966,0.8284,0.80929,0.96171,0.0091684,0.0091684,0.0091684
23,948.852,0.9364,0.94432,1.0937,0.94508,0.93043,0.97643,0.51426,0.80285,0.77541,0.95395,0.0091288,0.0091288,0.0091288
24,984.631,0.93228,0.93597,1.09253,0.94857,0.92991,0.97776,0.50558,0.80444,0.77921,0.95197,0.0090892,0.0090892,0.0090892
25,1020.2,0.93405,0.94414,1.09365,0.94514,0.93734,0.97353,0.47813,0.84367,0.78666,0.9658,0.0090496,0.0090496,0.0090496
