epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3766,3.85106,4.17179,1.64916,0.08592,0.065,0.01499,0.00221,3.49414,3.36505,1.66422,0.00026,0.00026,0.00026
2,59.5121,3.03071,2.93171,1.27202,0.29237,0.40926,0.23181,0.05758,2.99138,7.07162,1.4221,0.000536436,0.000536436,0.000536436
3,85.3473,2.66236,2.19094,1.20307,0.02771,0.02444,0.00093,0.00028,nan,nan,nan,0.000809176,0.000809176,0.000809176
4,125.37,2.77865,5.23766,1.07196,0.02755,0.02444,0.00093,0.00027,nan,nan,nan,0.00107822,0.00107822,0.00107822
5,131.881,3.45583,6.20518,1.1914,0.09394,0.09516,0.02125,0.0052,3.51157,12.5631,1.79721,0.00134357,0.00134357,0.00134357
6,137.499,3.85152,4.22306,1.14375,0.09114,0.08892,0.02476,0.00648,3.48212,11.564,1.67506,0.00160522,0.00160522,0.00160522
7,158.954,3.1185,2.33886,1.20385,0.00823,0.04264,0.00042,0.00011,nan,nan,nan,0.00186318,0.00186318,0.00186318
8,193.149,3.30383,1.98582,1.25664,0.00822,0.04264,0.00041,0.00011,nan,nan,nan,0.0019076,0.0019076,0.0019076
9,219.999,3.37211,1.83338,1.264,0.00822,0.04264,0.00041,0.00011,nan,nan,nan,0.0018944,0.0018944,0.0018944
10,229.368,3.40792,2.03507,1.28306,0.0023,0.01196,3e-05,1e-05,nan,nan,nan,0.0018812,0.0018812,0.0018812
11,235.104,3.43135,2.98859,1.05233,0.00708,0.0364,0.00025,4e-05,3.58712,2383.53,1.96049,0.001868,0.001868,0.001868
12,297.774,3.18199,2.2847,1.07807,0.00708,0.0364,0.00025,4e-05,3.5887,2379.41,1.96121,0.0018548,0.0018548,0.0018548
