epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.9274,4.23825,5.25744,1.46447,0.10943,0.18605,0.03431,0.00854,3.27228,2.44533,1.27689,0.0003,0.0003,0.0003
2,7.64339,3.1346,2.41073,1.09329,0.14632,0.41735,0.07312,0.01614,3.09782,6.72368,1.11174,0.000615908,0.000615908,0.000615908
3,10.8331,3.46822,2.85654,1.13284,0.05281,0.10811,0.00795,0.00193,3.09528,34.6336,1.1274,0.000927592,0.000927592,0.000927592
4,14.5565,2.84131,2.18597,1.10453,0.0405,0.20365,0.00882,0.00218,3.24279,143.881,1.2974,0.00123505,0.00123505,0.00123505
5,17.2445,3.83238,2.18823,0.97887,0.02687,0.13514,0.00363,0.00075,3.44636,1135.7,1.3962,0.00153829,0.00153829,0.00153829
6,20.8251,3.13004,1.90862,1.10839,0.04038,0.20302,0.00843,0.0022,3.76513,3005.87,1.93765,0.0018373,0.0018373,0.0018373
7,24.1881,2.73461,1.79277,1.02197,0.00414,0.02074,0.00015,2e-05,5.09593,3365.96,11.1894,0.0019208,0.0019208,0.0019208
8,30.3486,2.7328,1.91275,1.00822,0.00389,0.01948,9e-05,2e-05,5.094,3371.83,11.1949,0.0019076,0.0019076,0.0019076
9,33.1244,3.01254,1.99236,1.1029,0.02568,0.06851,0.00225,0.00057,4.39775,865.207,5.85413,0.0018944,0.0018944,0.0018944
10,40.1525,2.78554,1.87493,1.09327,0.15991,0.16719,0.03204,0.00839,3.6388,38.9036,3.23214,0.0018812,0.0018812,0.0018812
11,43.3065,3.16679,2.08487,1.12605,0.09381,0.15462,0.01754,0.00424,3.69406,3.20157,1.62666,0.001868,0.001868,0.001868
12,45.9796,3.41817,1.80327,0.95262,0.13779,0.18605,0.04599,0.01042,3.59995,1.94673,1.48808,0.0018548,0.0018548,0.0018548
13,48.8522,3.32266,1.88964,1.11046,0.25888,0.40222,0.15932,0.03726,3.12521,1.62025,1.26969,0.0018416,0.0018416,0.0018416
14,52.3839,2.63541,1.8311,1.07941,0.18912,0.30233,0.13453,0.03942,3.21287,1.5668,1.33078,0.0018284,0.0018284,0.0018284
15,55.1053,3.30964,1.78832,0.99264,0.20723,0.28598,0.13193,0.03849,3.23202,1.71568,1.32553,0.0018152,0.0018152,0.0018152
16,58.4241,2.67387,1.68939,1.04846,0.09625,0.38215,0.094,0.0242,3.14941,2.34656,1.22346,0.001802,0.001802,0.001802
17,61.6776,3.29359,1.86374,1.07588,0.32086,0.22924,0.14008,0.03745,3.06597,2.10731,1.17177,0.0017888,0.0017888,0.0017888
18,66.7907,2.94419,1.75697,1.07536,0.35392,0.27235,0.16264,0.0459,3.12567,2.02683,1.17655,0.0017756,0.0017756,0.0017756
19,69.8564,3.08794,1.79815,1.04603,0.29071,0.2401,0.11895,0.0318,3.13838,1.75547,1.18035,0.0017624,0.0017624,0.0017624
20,72.0538,2.99402,1.70367,0.88255,0.37022,0.29855,0.19697,0.04903,3.06655,1.63483,1.14097,0.0017492,0.0017492,0.0017492
21,75.3821,2.85524,1.88883,1.06901,0.41576,0.38152,0.27995,0.06811,2.93445,1.63231,1.10228,0.001736,0.001736,0.001736
22,77.7858,3.10078,1.78651,1.01972,0.35992,0.29855,0.21038,0.05341,3.11828,1.52638,1.18639,0.0017228,0.0017228,0.0017228
23,80.7539,2.7577,1.61815,1.02471,0.37932,0.34569,0.24271,0.06088,3.08609,1.47274,1.16035,0.0017096,0.0017096,0.0017096
