epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1094,1.52296,1.72381,1.81933,0.84376,0.83011,0.87217,0.36505,1.05802,1.19455,1.10527,0.00331502,0.00331502,0.0701648
2,217.614,1.00428,1.08143,1.17971,0.92058,0.8783,0.9403,0.4787,0.8552,0.89092,0.98801,0.00662202,0.00662202,0.0401385
3,365.112,0.99493,1.09241,1.17235,0.90269,0.87049,0.93638,0.48207,0.85002,1.33018,0.98643,0.00990263,0.00990263,0.0100858
4,418.059,0.99587,1.014,1.15772,0.89297,0.8982,0.93769,0.4039,0.94048,1.0547,1.0038,0.0098812,0.0098812,0.0098812
5,470.695,0.96328,0.96465,1.13338,0.91738,0.90754,0.94853,0.47371,0.86792,0.85238,0.98698,0.0098416,0.0098416,0.0098416
6,633.615,0.95535,0.92729,1.12392,0.9068,0.8498,0.93699,0.4341,0.8661,0.93091,0.98233,0.009802,0.009802,0.009802
7,718.113,0.93847,0.91313,1.1138,0.92601,0.89815,0.94613,0.46766,0.86187,0.81209,0.9796,0.0097624,0.0097624,0.0097624
8,777.278,0.92838,0.89776,1.10456,0.94429,0.89152,0.96244,0.51753,0.80889,0.7801,0.95758,0.0097228,0.0097228,0.0097228
9,833.772,0.92378,0.88985,1.10379,0.93615,0.91923,0.9621,0.5038,0.82604,0.79698,0.96765,0.0096832,0.0096832,0.0096832
10,902.378,0.91576,0.87683,1.09542,0.93703,0.92757,0.96889,0.53034,0.77637,0.797,0.94821,0.0096436,0.0096436,0.0096436
11,1049.42,0.91357,0.86628,1.09484,0.92485,0.93242,0.96899,0.52699,0.79363,0.77398,0.96056,0.009604,0.009604,0.009604
12,1108.09,0.91278,0.8623,1.09443,0.93753,0.91856,0.95978,0.4767,0.84194,0.8135,0.96898,0.0095644,0.0095644,0.0095644
