epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2823,3.45862,2.87537,0.79533,0.35269,0.4093,0.22007,0.0419,3.37601,2.70787,0.74898,0.000650407,0.000650407,0.000650407
2,62.093,3.5153,1.59102,0.76213,0.17889,0.4864,0.09808,0.02049,3.44327,100.83,0.76459,0.00130838,0.00130838,0.00130838
3,91.0472,3.6365,1.65707,0.7538,0.45246,0.44592,0.29438,0.05933,3.53616,1.81713,0.76959,0.00195755,0.00195755,0.00195755
4,107.26,3.52271,2.03726,0.74447,0.03863,0.12637,0.00532,0.00084,5.05783,25889.6,1.69255,0.0019604,0.0019604,0.0019604
5,122.577,3.40782,1.74838,0.71194,0.02135,0.09145,0.00203,0.00035,4.14615,2740.93,0.97709,0.0019472,0.0019472,0.0019472
6,141.624,3.75449,1.67376,0.76566,0.03465,0.14843,0.00503,0.00097,4.0791,14327.3,1.03169,0.001934,0.001934,0.001934
7,194.131,3.33744,1.49015,0.73502,0.00945,0.04048,0.00043,7e-05,4.59254,1203.99,1.1921,0.0019208,0.0019208,0.0019208
8,210.115,3.2666,1.36045,0.67694,0.05177,0.15121,0.00813,0.00127,3.93605,52.2167,0.82957,0.0019076,0.0019076,0.0019076
9,236.751,3.53512,1.41778,0.75693,0.57042,0.57562,0.45096,0.10819,3.28012,7.52337,0.76352,0.0018944,0.0018944,0.0018944
10,257.202,3.51398,1.4775,0.75719,0.43883,0.44956,0.28511,0.05591,3.50495,1.37994,0.77428,0.0018812,0.0018812,0.0018812
11,271.615,3.83589,1.5519,0.7133,0.25038,0.24759,0.0759,0.01215,4.23202,2.12872,0.92875,0.001868,0.001868,0.001868
12,293.456,3.40336,1.38537,0.72903,0.31408,0.28807,0.13632,0.02559,4.08656,1.37043,0.84952,0.0018548,0.0018548,0.0018548
13,325.707,3.22633,1.31842,0.77953,0.31121,0.30071,0.122,0.02058,3.97039,1.37214,0.8174,0.0018416,0.0018416,0.0018416
14,343.79,3.55083,1.35247,0.69885,0.4179,0.40844,0.22893,0.04023,3.76003,1.35296,0.81216,0.0018284,0.0018284,0.0018284
15,358.001,3.55798,1.40676,0.71207,0.47117,0.40651,0.26348,0.05156,nan,nan,nan,0.0018152,0.0018152,0.0018152
16,372.828,3.20714,1.29391,0.72301,0.45388,0.47698,0.28693,0.0599,3.59419,1.18857,0.77158,0.001802,0.001802,0.001802
17,437.254,3.19849,1.26422,0.66325,0.63958,0.60248,0.49489,0.12705,3.22601,1.18727,0.75806,0.0017888,0.0017888,0.0017888
18,472.408,3.52564,1.34935,0.71966,0.6034,0.56415,0.44336,0.09522,3.37404,1.1367,0.76536,0.0017756,0.0017756,0.0017756
19,487.404,3.27623,1.25101,0.72635,0.49908,0.49304,0.30949,0.06731,3.71546,1.30294,0.82845,0.0017624,0.0017624,0.0017624
20,512.837,3.53195,1.34755,0.712,0.56168,0.54209,0.41213,0.08216,3.44226,1.18793,0.75977,0.0017492,0.0017492,0.0017492
21,535.104,3.55402,1.32952,0.71535,0.28684,0.28593,0.10133,0.01685,4.1752,1.43282,0.87926,0.001736,0.001736,0.001736
22,561.145,3.25915,1.2228,0.69006,0.5551,0.52024,0.37498,0.07565,3.38438,1.09072,0.75242,0.0017228,0.0017228,0.0017228
23,582.094,3.39241,1.27724,0.6597,0.4379,0.4103,0.24044,0.0438,3.57318,1.09056,0.75947,0.0017096,0.0017096,0.0017096
24,617.209,3.38336,1.25504,0.69823,0.59732,0.56012,0.41176,0.10081,3.47285,1.21712,0.8098,0.0016964,0.0016964,0.0016964
25,647.089,3.23029,1.22452,0.70243,0.61514,0.59884,0.47634,0.11013,3.35012,1.0942,0.78276,0.0016832,0.0016832,0.0016832
26,663.536,3.52803,1.23944,0.70332,0.53994,0.50225,0.37304,0.07702,3.5702,1.17818,0.79687,0.00167,0.00167,0.00167
27,682.75,3.34244,1.27573,0.74071,0.53073,0.49283,0.3549,0.07489,3.59443,1.19118,0.7751,0.0016568,0.0016568,0.0016568
28,710.176,3.37256,1.24536,0.64415,0.5922,0.61646,0.46484,0.10775,3.2882,1.13995,0.74855,0.0016436,0.0016436,0.0016436
29,724.193,3.36926,1.18649,0.70607,0.52901,0.5725,0.41654,0.09707,3.30347,1.24891,0.75279,0.0016304,0.0016304,0.0016304
30,763.071,3.26338,1.23965,0.7214,0.67568,0.63362,0.56852,0.15059,3.15691,1.0901,0.75277,0.0016172,0.0016172,0.0016172
31,791.739,3.5051,1.33143,0.71933,0.53828,0.4804,0.34094,0.06735,3.61166,1.15464,0.78898,0.001604,0.001604,0.001604
32,886.145,3.42967,1.23792,0.67303,0.41209,0.38359,0.21952,0.03972,3.58178,1.29485,0.7751,0.0015908,0.0015908,0.0015908
33,906.51,3.28758,1.18128,0.70659,0.57851,0.5406,0.3957,0.08149,3.52074,1.19536,0.78192,0.0015776,0.0015776,0.0015776
34,921.18,3.32486,1.2208,0.6878,0.65721,0.64768,0.55764,0.1492,3.00048,1.37483,0.7245,0.0015644,0.0015644,0.0015644
35,947.829,3.26946,1.19974,0.68398,0.58609,0.56093,0.43356,0.087,3.38492,1.13132,0.74196,0.0015512,0.0015512,0.0015512
36,967.661,3.23258,1.24532,0.73134,0.49893,0.5076,0.32492,0.06107,3.63952,1.17208,0.7857,0.001538,0.001538,0.001538
37,991.516,3.05007,1.17989,0.71912,0.59207,0.57593,0.44018,0.09536,3.36403,1.14314,0.76332,0.0015248,0.0015248,0.0015248
38,1039.96,3.18077,1.29545,0.72785,0.59871,0.58062,0.4607,0.09881,3.37898,1.18979,0.76197,0.0015116,0.0015116,0.0015116
39,1056.35,3.27342,1.28558,0.71428,0.53263,0.52838,0.38085,0.07555,3.4832,1.16154,0.7741,0.0014984,0.0014984,0.0014984
40,1069.95,3.45536,1.22942,0.61371,0.59775,0.58664,0.45405,0.10376,3.45893,1.11076,0.79298,0.0014852,0.0014852,0.0014852
41,1107.99,3.07815,1.13411,0.67343,0.44487,0.42986,0.24617,0.04915,3.82596,1.23984,0.82885,0.001472,0.001472,0.001472
42,1157.12,3.35249,1.2357,0.72816,0.60359,0.58635,0.46035,0.09966,3.27057,1.0272,0.74489,0.0014588,0.0014588,0.0014588
43,1186.26,3.07735,1.17684,0.74649,0.4927,0.47886,0.30711,0.05842,3.51674,1.17341,0.76055,0.0014456,0.0014456,0.0014456
44,1216.6,3.33723,1.24184,0.69269,0.60487,0.57736,0.44762,0.09338,3.37154,1.09022,0.75525,0.0014324,0.0014324,0.0014324
45,1255.23,3.43007,1.31594,0.70492,0.38262,0.37203,0.20739,0.03269,3.75244,1.15007,0.77924,0.0014192,0.0014192,0.0014192
46,1277.24,3.30645,1.19402,0.69698,0.53121,0.48554,0.35431,0.06612,3.57456,1.14652,0.78833,0.001406,0.001406,0.001406
47,1297.87,3.23724,1.22206,0.73223,0.66847,0.63354,0.53266,0.12803,3.13019,1.05047,0.74998,0.0013928,0.0013928,0.0013928
48,1332.33,3.23708,1.16179,0.66276,0.4574,0.48242,0.28175,0.05518,3.55327,1.15477,0.7663,0.0013796,0.0013796,0.0013796
49,1362.92,3.00564,1.18887,0.76961,0.44181,0.47584,0.28616,0.05201,3.62477,1.19998,0.77261,0.0013664,0.0013664,0.0013664
50,1377.51,3.29666,1.19191,0.70457,0.69367,0.65864,0.57744,0.15584,3.07858,1.05823,0.74825,0.0013532,0.0013532,0.0013532
51,1392.64,3.1216,1.10738,0.69271,0.5838,0.54701,0.42206,0.08678,3.47106,1.14962,0.77118,0.00134,0.00134,0.00134
52,1407.85,3.27544,1.23491,0.72043,0.43353,0.40416,0.26061,0.04383,3.68684,1.1985,0.77338,0.0013268,0.0013268,0.0013268
53,1439.86,3.10717,1.16534,0.7018,0.58807,0.58085,0.44802,0.10237,3.33562,1.11842,0.77376,0.0013136,0.0013136,0.0013136
54,1455.32,3.10248,1.17442,0.7202,0.5505,0.55601,0.38141,0.08513,3.42721,2.97898,0.79135,0.0013004,0.0013004,0.0013004
55,1471.59,3.28162,1.16248,0.70848,0.45639,0.43178,0.28086,0.04547,3.66873,1.14092,0.76569,0.0012872,0.0012872,0.0012872
56,1486.1,3.33959,1.19162,0.69177,0.37715,0.38745,0.18586,0.03047,3.7956,1.16006,0.75781,0.001274,0.001274,0.001274
57,1509.84,2.92918,1.10966,0.73542,0.53242,0.54215,0.36349,0.07822,3.54749,1.1768,0.76671,0.0012608,0.0012608,0.0012608
58,1548.47,3.2525,1.2113,0.70047,0.51552,0.57486,0.38857,0.09118,3.41209,1.28369,0.78511,0.0012476,0.0012476,0.0012476
59,1563.49,3.23063,1.19927,0.69915,0.542,0.54294,0.37756,0.08035,3.44753,1.1995,0.77916,0.0012344,0.0012344,0.0012344
60,1612.32,3.20779,1.17309,0.73138,0.32323,0.33776,0.15779,0.02516,3.72908,1.12946,0.75708,0.0012212,0.0012212,0.0012212
61,1674.33,3.34234,1.25541,0.70009,0.36954,0.37417,0.19464,0.0312,3.80824,1.18212,0.77981,0.001208,0.001208,0.001208
62,1691.79,3.20241,1.21735,0.70604,0.56074,0.55665,0.42221,0.08547,3.32849,1.68859,0.73785,0.0011948,0.0011948,0.0011948
63,1723.37,3.32419,1.24885,0.70336,0.57437,0.57057,0.42105,0.0951,3.36232,1.65483,0.76596,0.0011816,0.0011816,0.0011816
64,1751.66,3.42212,1.21794,0.66054,0.50333,0.46884,0.30522,0.05991,3.74823,1.28336,0.815,0.0011684,0.0011684,0.0011684
65,1770.91,2.98103,1.08688,0.66938,0.45457,0.44356,0.24775,0.0449,3.83374,1.24766,0.8039,0.0011552,0.0011552,0.0011552
66,1785.25,3.16822,1.12359,0.68093,0.52259,0.53969,0.349,0.06879,3.51677,1.12817,0.76055,0.001142,0.001142,0.001142
