epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7562,3.53408,2.9457,0.79629,0.01165,0.0499,0.00083,0.00014,3.20043,3.55099,0.71746,0.000650407,0.000650407,0.000650407
2,63.086,3.61997,2.05236,0.76273,0.05955,0.25509,0.02347,0.0042,3.80117,2.9052,0.78465,0.00130838,0.00130838,0.00130838
3,88.209,3.6251,1.94492,0.74756,0.37884,0.22689,0.1398,0.02408,3.78705,1.94048,0.80095,0.00195755,0.00195755,0.00195755
4,103.224,3.44781,1.86969,0.73718,0.44439,0.42921,0.26771,0.05475,3.31441,1.53704,0.74972,0.0019604,0.0019604,0.0019604
5,117.557,3.56555,1.81107,0.7305,0.43984,0.49425,0.31829,0.0745,2.99466,1.29237,0.72432,0.0019472,0.0019472,0.0019472
6,132.379,3.8697,1.9452,0.77716,0.41802,0.46584,0.27702,0.05637,3.45699,1.37442,0.78472,0.001934,0.001934,0.001934
7,149.863,3.34948,1.63139,0.73117,0.42261,0.45007,0.25813,0.04995,3.58587,1.45467,0.7906,0.0019208,0.0019208,0.0019208
8,163.737,3.3034,1.54822,0.66545,0.45701,0.435,0.27649,0.05101,3.64975,1.28036,0.79185,0.0019076,0.0019076,0.0019076
9,187.081,3.61992,1.61882,0.75374,0.47827,0.42857,0.28362,0.0569,3.84922,1.43946,0.86213,0.0018944,0.0018944,0.0018944
10,212.249,3.57826,1.63547,0.75186,0.46268,0.46071,0.29128,0.05866,3.51869,1.27541,0.78117,0.0018812,0.0018812,0.0018812
11,225.863,3.84471,1.68304,0.70082,0.36178,0.36325,0.17104,0.03003,3.85027,1.37183,0.81644,0.001868,0.001868,0.001868
12,240.061,3.30555,1.49959,0.72284,0.28741,0.28871,0.10278,0.01767,4.09926,1.38403,0.86644,0.0018548,0.0018548,0.0018548
13,264.605,3.25765,1.47406,0.78152,0.47893,0.45085,0.28844,0.05625,3.51976,1.20771,0.77024,0.0018416,0.0018416,0.0018416
14,278.597,3.55297,1.47835,0.70132,0.54563,0.5166,0.36434,0.07684,3.57605,1.278,0.80242,0.0018284,0.0018284,0.0018284
15,292.133,3.49467,1.48744,0.70493,0.48083,0.48558,0.29183,0.06707,3.73645,1.35063,0.83758,0.0018152,0.0018152,0.0018152
16,305.998,3.22279,1.38389,0.72739,0.52436,0.50332,0.35523,0.07597,3.41918,1.17607,0.75888,0.001802,0.001802,0.001802
17,333.285,3.25234,1.40646,0.66736,0.55447,0.5438,0.42108,0.0892,3.46523,1.27,0.78551,0.0017888,0.0017888,0.0017888
18,352.266,3.62386,1.52655,0.7301,0.50173,0.5091,0.33084,0.07374,3.82137,1.38389,0.89566,0.0017756,0.0017756,0.0017756
19,366.051,3.36936,1.42803,0.72422,0.427,0.42043,0.22938,0.04144,3.6871,1.223,0.77883,0.0017624,0.0017624,0.0017624
20,380.419,3.61368,1.52758,0.71483,0.36013,0.35618,0.16999,0.026,3.82748,1.27268,0.7845,0.0017492,0.0017492,0.0017492
21,394.899,3.58931,1.506,0.71897,0.44675,0.43414,0.24482,0.04675,3.91212,1.34287,0.82785,0.001736,0.001736,0.001736
22,418.807,3.27212,1.35399,0.69207,0.59305,0.56843,0.44846,0.09595,3.38705,1.16607,0.7575,0.0017228,0.0017228,0.0017228
23,438.352,3.43707,1.4146,0.65822,0.58371,0.55172,0.44414,0.09856,3.27956,1.19564,0.73756,0.0017096,0.0017096,0.0017096
24,468.101,3.44125,1.42383,0.69979,0.62194,0.6209,0.50144,0.12059,3.18822,1.15033,0.7442,0.0016964,0.0016964,0.0016964
25,490.92,3.30067,1.38721,0.70703,0.59053,0.5875,0.45897,0.10944,3.28436,1.22654,0.77107,0.0016832,0.0016832,0.0016832
26,505.084,3.55438,1.39598,0.70624,0.61452,0.60094,0.47146,0.10155,3.38902,1.1519,0.76823,0.00167,0.00167,0.00167
27,519.144,3.39281,1.46694,0.74111,0.60357,0.60891,0.48486,0.11192,3.14778,1.09723,0.73411,0.0016568,0.0016568,0.0016568
28,535.538,3.33726,1.38052,0.64425,0.6305,0.63525,0.52167,0.13209,3.13851,1.18755,0.75876,0.0016436,0.0016436,0.0016436
29,548.899,3.39772,1.32232,0.70696,0.63868,0.61362,0.50916,0.12578,3.30681,1.12825,0.78335,0.0016304,0.0016304,0.0016304
30,584.177,3.22846,1.31928,0.71974,0.66038,0.64176,0.55092,0.14149,3.14277,1.09058,0.75422,0.0016172,0.0016172,0.0016172
31,604.183,3.51227,1.50535,0.71975,0.45185,0.46734,0.28097,0.0546,3.63408,1.2788,0.78032,0.001604,0.001604,0.001604
32,671.185,3.66585,1.42265,0.6885,0.53448,0.52302,0.36721,0.08262,3.56964,1.23033,0.81245,0.0015908,0.0015908,0.0015908
33,687.567,3.4962,1.3848,0.72128,0.55886,0.59756,0.43678,0.10244,3.33803,1.20979,0.77493,0.0015776,0.0015776,0.0015776
