epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8634,3.40611,2.83086,0.78323,0.00579,0.04882,0.00048,7e-05,3.23937,3.41454,0.72119,0.000652778,0.000652778,0.000652778
2,63.8825,3.53263,1.93387,0.74569,0.036,0.3038,0.0524,0.00868,3.859,2.56438,0.75956,0.00131074,0.00131074,0.00131074
3,84.1379,3.36717,1.77088,0.73328,0.40118,0.26895,0.16486,0.03304,3.67337,1.71728,0.76314,0.00195989,0.00195989,0.00195989
4,110.688,3.60936,1.89794,0.76268,0.29763,0.31647,0.14789,0.03039,3.67203,1.59213,0.77494,0.0019604,0.0019604,0.0019604
5,132.985,3.52594,1.85475,0.75389,0.17207,0.21278,0.08361,0.01563,3.90516,1.65821,0.7601,0.0019472,0.0019472,0.0019472
6,178.209,3.50711,1.79545,0.72182,0.47471,0.43743,0.28737,0.06222,3.4072,1.37672,0.74721,0.001934,0.001934,0.001934
7,200.882,3.68398,1.64211,0.70448,0.43525,0.4569,0.29988,0.071,3.36304,1.48389,0.72715,0.0019208,0.0019208,0.0019208
8,215.819,3.59197,1.76332,0.74332,0.52468,0.46956,0.37473,0.0949,3.14393,1.63507,0.71146,0.0019076,0.0019076,0.0019076
9,235.404,3.78253,1.57623,0.71557,0.32384,0.32882,0.1429,0.02583,3.92297,1.42007,0.78312,0.0018944,0.0018944,0.0018944
10,258.699,3.48242,1.56709,0.71831,0.21009,0.19711,0.05445,0.00868,4.33578,1.66599,0.83884,0.0018812,0.0018812,0.0018812
11,274.177,3.76946,1.5989,0.73569,0.22297,0.22725,0.06391,0.01045,4.30114,1.60001,0.84336,0.001868,0.001868,0.001868
12,289.819,3.7421,1.65209,0.72626,0.59446,0.56661,0.46631,0.13081,2.91726,1.19503,0.70488,0.0018548,0.0018548,0.0018548
13,305.266,3.61155,1.52755,0.69026,0.27411,0.26582,0.10878,0.01831,3.90239,1.38389,0.75188,0.0018416,0.0018416,0.0018416
14,320.635,3.35461,1.5017,0.71097,0.4904,0.48885,0.32719,0.07743,3.3196,1.25036,0.73561,0.0018284,0.0018284,0.0018284
15,343.013,3.46883,1.5173,0.70451,0.34203,0.3572,0.17093,0.03279,3.78646,1.3724,0.76492,0.0018152,0.0018152,0.0018152
16,389.499,3.30281,1.40402,0.72116,0.46131,0.48764,0.30717,0.06623,3.33918,1.2562,0.71658,0.001802,0.001802,0.001802
17,446.508,3.52802,1.488,0.76949,0.35105,0.35021,0.16036,0.03165,3.84981,1.3534,0.78193,0.0017888,0.0017888,0.0017888
18,509.535,3.45734,1.46221,0.71391,0.44254,0.42074,0.2608,0.04773,3.61506,1.2482,0.74171,0.0017756,0.0017756,0.0017756
19,525.537,3.51863,1.36751,0.72803,0.37568,0.33876,0.17191,0.03126,3.80477,1.30189,0.7628,0.0017624,0.0017624,0.0017624
20,541.19,3.41166,1.42971,0.74146,0.45625,0.44304,0.28814,0.05787,3.46065,1.37864,0.7336,0.0017492,0.0017492,0.0017492
21,558.891,3.16789,1.3265,0.71199,0.57677,0.58652,0.46848,0.13777,2.92774,1.12266,0.70788,0.001736,0.001736,0.001736
22,579.56,3.81199,1.5528,0.70492,0.28758,0.29101,0.12172,0.01891,3.94386,1.36109,0.77478,0.0017228,0.0017228,0.0017228
23,595.588,3.47917,1.39387,0.71793,0.55189,0.54862,0.39756,0.09736,3.23329,1.18015,0.72725,0.0017096,0.0017096,0.0017096
24,610.286,3.59355,1.38392,0.65463,0.43284,0.37673,0.22968,0.0393,3.661,1.20638,0.74538,0.0016964,0.0016964,0.0016964
25,643.162,3.49345,1.44076,0.73173,0.18126,0.46715,0.10404,0.02125,3.34742,3.52831,0.7217,0.0016832,0.0016832,0.0016832
26,684.866,3.38237,1.40191,0.6935,0.37599,0.37794,0.19625,0.03432,3.63052,1.41502,0.74277,0.00167,0.00167,0.00167
27,715.477,3.47277,1.44599,0.70418,0.47085,0.4575,0.27939,0.05097,3.60306,1.20316,0.73517,0.0016568,0.0016568,0.0016568
28,730.267,3.88863,1.48522,0.66166,0.5319,0.54727,0.39192,0.09713,3.1686,1.14219,0.72281,0.0016436,0.0016436,0.0016436
29,783.614,3.21141,1.3352,0.70434,0.34057,0.34213,0.14596,0.02624,3.87144,1.24497,0.7742,0.0016304,0.0016304,0.0016304
30,801.208,3.1605,1.3462,0.74706,0.42243,0.41531,0.21919,0.03932,3.70428,1.21855,0.75507,0.0016172,0.0016172,0.0016172
31,832.23,3.4777,1.39391,0.68535,0.42071,0.41588,0.21715,0.04301,3.7679,1.26388,0.76429,0.001604,0.001604,0.001604
32,847.502,3.56208,1.44847,0.69737,0.52099,0.478,0.34953,0.06929,3.40525,1.14611,0.71237,0.0015908,0.0015908,0.0015908
