epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.52152,4.1079,3.90102,1.46916,0,0,0,0,3.64687,3.66346,1.19502,0.0015,0.0005,0.0015,0.0005,0.0965,0.0955,0.0015,0.0005
2,9.91169,3.57294,3.60725,1.39456,0.00091,0.00184,1e-05,0,3.62681,3.50596,1.29189,0.00327822,0.00109274,0.00327822,0.00109274,0.0922782,0.0900927,0.00327822,0.00109274
3,12.9017,2.78165,2.70085,1.14502,0.00061,0.00123,0,0,3.50281,3.3554,1.25582,0.00503268,0.00167756,0.00503268,0.00167756,0.0880327,0.0846776,0.00503268,0.00167756
4,16.3655,2.76167,2.15142,1.11825,0.00121,0.00246,1e-05,0,3.63441,3.27184,1.3075,0.00676338,0.00225446,0.00676338,0.00225446,0.0837634,0.0792545,0.00676338,0.00225446
5,20.1958,2.65697,1.91757,1.0717,0.00212,0.0043,1e-05,0,3.184,3.14773,1.09371,0.00847032,0.00282344,0.00847032,0.00282344,0.0794703,0.0738234,0.00847032,0.00282344
6,23.1385,2.7077,1.97897,1.10923,0.00455,0.00921,0.00013,8e-05,3.3429,3.09139,1.18362,0.0101535,0.0033845,0.0101535,0.0033845,0.0751535,0.0683845,0.0101535,0.0033845
7,26.3517,2.58147,1.83835,1.05183,0.01091,0.0221,0.00143,0.00029,3.1159,3.00871,1.09505,0.0118129,0.00393764,0.0118129,0.00393764,0.0708129,0.0629376,0.0118129,0.00393764
8,29.6339,2.43884,1.90739,1.01887,0.02364,0.04788,0.00529,0.00134,3.19101,2.86726,1.12633,0.0134486,0.00448286,0.0134486,0.00448286,0.0664486,0.0574829,0.0134486,0.00448286
9,32.8953,2.69565,1.81344,1.09914,0.0497,0.10068,0.01901,0.00474,3.22566,2.77659,1.16583,0.0150605,0.00502016,0.0150605,0.00502016,0.0620605,0.0520202,0.0150605,0.00502016
10,36.1525,2.58513,1.85785,1.04536,0.09242,0.18723,0.05482,0.0144,3.13469,2.66972,1.13908,0.0166486,0.00554954,0.0166486,0.00554954,0.0576486,0.0465495,0.0166486,0.00554954
