epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.30118,3.57974,3.59343,1.4695,0.011,0.0572,0.00142,0.00029,2.94109,3.51273,1.14828,0.00026,0.00026,0.00026
2,11.7381,3.10435,3.09648,1.21349,0.015,0.078,0.00143,0.00034,3.30884,3.54051,1.29671,0.000536436,0.000536436,0.000536436
3,16.9725,2.72646,2.47747,1.12737,0.0142,0.07384,0.00289,0.00051,3.02987,3.36399,1.20328,0.000809176,0.000809176,0.000809176
4,22.6312,2.36669,1.92492,0.97711,0.0143,0.07436,0.00746,0.00143,3.01358,3.17187,1.19623,0.00107822,0.00107822,0.00107822
5,27.5605,2.567,1.92146,0.92046,0.0173,0.08996,0.01218,0.00288,3.05371,3.08461,1.19092,0.00134357,0.00134357,0.00134357
6,32.0075,3.22303,2.45466,1.02818,0.0454,0.23609,0.03745,0.00998,2.86778,2.70668,1.12183,0.00160522,0.00160522,0.00160522
7,36.1534,3.42248,2.13773,0.95186,0.0601,0.31253,0.07005,0.01897,2.90795,2.54038,1.11779,0.00186318,0.00186318,0.00186318
8,40.5553,3.14821,2.35175,1.01348,0.30809,0.39366,0.20679,0.04846,2.85909,1.94625,1.10704,0.0019076,0.0019076,0.0019076
9,45.0799,2.95208,1.85685,1.02284,0.28538,0.33177,0.16503,0.03695,2.94742,1.81577,1.16054,0.0018944,0.0018944,0.0018944
10,49.8514,3.0144,1.8801,1.12542,0.23257,0.19085,0.07478,0.01853,3.21066,2.33263,1.31277,0.0018812,0.0018812,0.0018812
11,54.7353,3.32185,1.84116,1.05561,0.21653,0.19397,0.07579,0.02117,3.20091,2.77722,1.31798,0.001868,0.001868,0.001868
12,59.5343,2.87692,1.58875,1.04355,0.28906,0.29485,0.14793,0.03539,3.05267,2.12881,1.25736,0.0018548,0.0018548,0.0018548
13,64.3434,2.75268,1.65104,1.01736,0.23083,0.25065,0.0943,0.02411,3.23092,2.30414,1.35535,0.0018416,0.0018416,0.0018416
14,68.2285,2.83218,1.68449,0.86698,0.23083,0.25065,0.0943,0.02411,3.23092,2.30414,1.35535,0.0018284,0.0018284,0.0018284
15,72.9223,3.18731,1.86126,1.08803,0.2103,0.23661,0.08797,0.02164,3.25633,1.89411,1.35484,0.0018152,0.0018152,0.0018152
16,77.4124,2.88216,1.70865,0.92255,0.24763,0.30577,0.12408,0.02844,3.13954,1.72195,1.28297,0.001802,0.001802,0.001802
17,81.3932,3.32754,1.72007,0.95865,0.23458,0.29329,0.11827,0.02901,3.10401,1.80932,1.2572,0.0017888,0.0017888,0.0017888
18,85.1699,3.65579,1.85704,0.9527,0.26311,0.28913,0.12493,0.03063,3.09131,1.52858,1.22944,0.0017756,0.0017756,0.0017756
19,89.3858,3.18395,1.83907,0.97176,0.21241,0.20167,0.08181,0.02189,3.28267,1.83674,1.33815,0.0017624,0.0017624,0.0017624
20,93.7067,2.99519,1.58325,1.03104,0.2357,0.20905,0.09339,0.02375,3.32616,1.83084,1.35269,0.0017492,0.0017492,0.0017492
21,97.9257,3.48056,1.67734,0.95341,0.26609,0.2123,0.1024,0.02605,3.26838,1.59545,1.3109,0.001736,0.001736,0.001736
22,101.675,2.97448,1.60358,0.94329,0.26609,0.2123,0.1024,0.02605,3.26838,1.59545,1.3109,0.0017228,0.0017228,0.0017228
23,106.1,2.61858,1.42047,0.94386,0.38337,0.32007,0.20356,0.0486,3.04573,1.48515,1.22003,0.0017096,0.0017096,0.0017096
24,109.995,2.888,1.66452,0.9045,0.42831,0.42798,0.29596,0.06626,2.91741,1.45993,1.17824,0.0016964,0.0016964,0.0016964
25,115.071,2.43549,1.65326,1.10143,0.37406,0.37181,0.23277,0.05401,3.00627,1.48056,1.20804,0.0016832,0.0016832,0.0016832
26,119.43,2.71812,1.50135,0.91076,0.32402,0.29173,0.18003,0.04412,3.08451,1.57468,1.238,0.00167,0.00167,0.00167
27,124.064,2.50617,1.70223,1.02693,0.28044,0.30681,0.15807,0.03765,3.09412,1.69432,1.23381,0.0016568,0.0016568,0.0016568
28,128.502,2.98163,1.54861,0.97473,0.23376,0.32969,0.13489,0.0312,3.10575,1.80834,1.24707,0.0016436,0.0016436,0.0016436
29,132.813,2.84301,1.56677,0.9564,0.21546,0.31721,0.1236,0.02883,3.14111,1.70763,1.26222,0.0016304,0.0016304,0.0016304
30,137.492,2.47854,1.38234,1.01894,0.21546,0.31721,0.1236,0.02883,3.14111,1.70763,1.26222,0.0016172,0.0016172,0.0016172
31,141.959,2.25909,1.34056,0.95588,0.28859,0.36401,0.17966,0.0443,2.99669,1.4143,1.19418,0.001604,0.001604,0.001604
32,146.368,3.0127,1.62412,0.99116,0.42773,0.4883,0.32682,0.07337,2.84072,1.33726,1.14336,0.0015908,0.0015908,0.0015908
33,150.497,2.44474,1.3987,0.93422,0.45183,0.46022,0.31138,0.07063,2.85963,1.33937,1.14597,0.0015776,0.0015776,0.0015776
34,154.299,2.96504,1.53317,0.90987,0.46121,0.4779,0.3327,0.07638,2.83782,1.35587,1.1386,0.0015644,0.0015644,0.0015644
35,158.819,2.59459,1.48857,0.99053,0.39573,0.38118,0.23924,0.06181,2.9356,1.39176,1.17735,0.0015512,0.0015512,0.0015512
36,162.565,2.98635,1.61339,0.95905,0.384,0.35413,0.21792,0.05639,3.0289,1.42458,1.22127,0.001538,0.001538,0.001538
37,166.593,2.86479,1.45197,0.97848,0.4556,0.41082,0.29723,0.06784,3.00945,1.42714,1.22065,0.0015248,0.0015248,0.0015248
38,170.653,2.95594,1.52412,0.89574,0.4556,0.41082,0.29723,0.06784,3.00945,1.42714,1.22065,0.0015116,0.0015116,0.0015116
39,175.798,2.68105,1.54452,1.04113,0.45659,0.41134,0.29764,0.06919,3.00564,1.40522,1.2065,0.0014984,0.0014984,0.0014984
40,179.932,2.81772,1.53699,0.97261,0.38722,0.34789,0.21121,0.0502,3.05612,1.43209,1.20988,0.0014852,0.0014852,0.0014852
41,184.497,2.65524,1.48034,0.98756,0.37713,0.33801,0.20217,0.05254,3.01695,1.39883,1.19142,0.001472,0.001472,0.001472
42,189.004,2.94789,1.46344,0.95998,0.42482,0.38586,0.24909,0.06418,2.91589,1.36929,1.16296,0.0014588,0.0014588,0.0014588
43,193.63,2.28626,1.4381,1.02486,0.49744,0.48986,0.36258,0.08676,2.80056,1.37258,1.1282,0.0014456,0.0014456,0.0014456
44,197.517,2.95043,1.44961,0.83639,0.53555,0.53354,0.41312,0.09449,2.77673,1.4093,1.12065,0.0014324,0.0014324,0.0014324
45,201.642,2.94103,1.46967,0.90802,0.47821,0.4545,0.31435,0.07513,2.85707,1.39991,1.14616,0.0014192,0.0014192,0.0014192
46,208.791,2.55698,1.49694,0.94562,0.47821,0.4545,0.31435,0.07513,2.85707,1.39991,1.14616,0.001406,0.001406,0.001406
47,213.305,2.38695,1.38899,0.91238,0.40708,0.37754,0.22271,0.05513,2.94985,1.39507,1.17945,0.0013928,0.0013928,0.0013928
48,217.609,3.22862,1.54129,0.90068,0.41345,0.37337,0.2269,0.05528,2.97488,1.3873,1.18296,0.0013796,0.0013796,0.0013796
49,222.025,2.8312,1.41168,0.94788,0.46132,0.43821,0.30222,0.07087,2.90274,1.35608,1.16187,0.0013664,0.0013664,0.0013664
50,232.348,2.76161,1.36443,0.94458,0.47158,0.43838,0.31652,0.07421,2.89202,1.35083,1.1569,0.0013532,0.0013532,0.0013532
51,237.352,2.57984,1.42799,0.98385,0.43655,0.41602,0.271,0.06913,2.91103,1.3477,1.16109,0.00134,0.00134,0.00134
52,241.744,3.29373,1.56606,0.86937,0.43453,0.40978,0.26435,0.0691,2.91726,1.361,1.16354,0.0013268,0.0013268,0.0013268
53,245.992,2.61258,1.39598,0.94719,0.4553,0.43162,0.27983,0.07221,2.8938,1.35508,1.15795,0.0013136,0.0013136,0.0013136
54,250.445,3.27203,1.47689,0.88937,0.4553,0.43162,0.27983,0.07221,2.8938,1.35508,1.15795,0.0013004,0.0013004,0.0013004
55,254.612,2.07355,1.16225,0.82705,0.47713,0.44618,0.31988,0.07602,2.89076,1.35226,1.15668,0.0012872,0.0012872,0.0012872
56,258.94,2.29904,1.29765,0.92311,0.45816,0.44098,0.30648,0.07384,2.90941,1.34391,1.15904,0.001274,0.001274,0.001274
57,263.442,2.60574,1.26443,0.95293,0.40598,0.4077,0.25696,0.06055,2.92576,1.34688,1.1673,0.0012608,0.0012608,0.0012608
58,267.858,2.81798,1.4651,0.98453,0.39504,0.40666,0.24215,0.0565,2.92428,1.34484,1.1763,0.0012476,0.0012476,0.0012476
59,274.104,3.5041,1.53233,0.84581,0.42129,0.43786,0.26925,0.06099,2.88208,1.32536,1.1657,0.0012344,0.0012344,0.0012344
60,278.465,2.60817,1.32576,0.95137,0.43067,0.43162,0.27108,0.0609,2.86597,1.31923,1.15922,0.0012212,0.0012212,0.0012212
61,282.662,2.68737,1.27132,0.91693,0.39548,0.38118,0.21396,0.05152,2.9074,1.33495,1.18027,0.001208,0.001208,0.001208
62,286.724,2.43239,1.29806,0.90289,0.39548,0.38118,0.21396,0.05152,2.9074,1.33495,1.18027,0.0011948,0.0011948,0.0011948
63,294.004,2.85026,1.69005,0.91645,0.39962,0.38212,0.21944,0.05465,2.92362,1.34521,1.18942,0.0011816,0.0011816,0.0011816
64,297.793,2.96093,1.41695,0.93143,0.48171,0.47478,0.33339,0.07793,2.8632,1.362,1.17311,0.0011684,0.0011684,0.0011684
65,302.153,2.31161,1.24747,0.89666,0.54859,0.52453,0.41785,0.09746,2.81443,1.38918,1.155,0.0011552,0.0011552,0.0011552
66,306.261,3.16609,1.41908,0.77447,0.57678,0.53562,0.45271,0.10264,2.7805,1.44249,1.13799,0.001142,0.001142,0.001142
67,310.625,2.83321,1.37239,0.89554,0.56907,0.54251,0.45136,0.10538,2.76737,1.49261,1.13776,0.0011288,0.0011288,0.0011288
68,314.878,2.87889,1.45146,0.7738,0.52716,0.48518,0.38997,0.08869,2.83739,1.50734,1.14676,0.0011156,0.0011156,0.0011156
69,319.234,2.68167,1.42261,0.87948,0.5077,0.45554,0.3551,0.08018,2.86212,1.46674,1.15191,0.0011024,0.0011024,0.0011024
70,323.421,2.13353,1.31724,1.0175,0.5077,0.45554,0.3551,0.08018,2.86212,1.46674,1.15191,0.0010892,0.0010892,0.0010892
71,328.174,2.72811,1.40357,0.94628,0.54191,0.5013,0.39882,0.08894,2.81231,1.38003,1.1317,0.001076,0.001076,0.001076
72,332.233,3.0174,1.45773,0.88748,0.5655,0.52522,0.43627,0.09605,2.78528,1.36281,1.12459,0.0010628,0.0010628,0.0010628
73,336.367,2.8921,1.3915,0.93607,0.56909,0.54049,0.44291,0.10123,2.77312,1.35326,1.12383,0.0010496,0.0010496,0.0010496
74,341.086,2.35787,1.30281,0.97922,0.50145,0.46958,0.33899,0.07687,2.84274,1.33996,1.1527,0.0010364,0.0010364,0.0010364
75,345.437,3.19181,1.47329,0.85921,0.46278,0.43266,0.28929,0.06634,2.9169,1.35311,1.17565,0.0010232,0.0010232,0.0010232
76,350.344,2.41053,1.26201,0.98708,0.489,0.45866,0.3153,0.07062,2.90406,1.34746,1.17581,0.00101,0.00101,0.00101
77,355.081,2.41012,1.31551,0.96881,0.58424,0.56561,0.46229,0.10631,2.77742,1.35633,1.14582,0.0009968,0.0009968,0.0009968
78,359.735,2.15999,1.28482,0.98298,0.58424,0.56561,0.46229,0.10631,2.77742,1.35633,1.14582,0.0009836,0.0009836,0.0009836
79,363.476,3.77107,1.64433,0.76554,0.58719,0.57982,0.47099,0.11149,2.73175,1.35343,1.13683,0.0009704,0.0009704,0.0009704
80,368.172,2.31022,1.29876,0.97217,0.58232,0.54914,0.45143,0.1052,2.76455,1.29708,1.13442,0.0009572,0.0009572,0.0009572
81,372.842,2.55616,1.33085,0.83334,0.45067,0.42278,0.27414,0.06496,2.88268,1.27633,1.16474,0.000944,0.000944,0.000944
82,376.849,2.41911,1.23588,0.89489,0.41659,0.38482,0.23165,0.0567,2.92201,1.27259,1.18004,0.0009308,0.0009308,0.0009308
83,381.327,2.36054,1.30672,0.99033,0.41345,0.39262,0.22991,0.05367,2.91742,1.28265,1.18719,0.0009176,0.0009176,0.0009176
84,385.91,2.50314,1.23234,0.93409,0.46551,0.49038,0.33216,0.0733,2.84311,1.27517,1.16664,0.0009044,0.0009044,0.0009044
85,390.315,2.64515,1.23409,0.91174,0.52461,0.56058,0.42924,0.09892,2.75969,1.25988,1.14041,0.0008912,0.0008912,0.0008912
86,395.053,2.40007,1.26561,0.95167,0.52461,0.56058,0.42924,0.09892,2.75969,1.25988,1.14041,0.000878,0.000878,0.000878
87,407.112,2.54139,1.30921,0.93207,0.55053,0.5819,0.4709,0.11293,2.71673,1.27279,1.12557,0.0008648,0.0008648,0.0008648
88,411.543,2.62762,1.29259,0.90069,0.53649,0.55954,0.43497,0.10279,2.73913,1.30319,1.13101,0.0008516,0.0008516,0.0008516
89,415.527,3.02977,1.50861,0.84987,0.51425,0.53406,0.39708,0.09343,2.78031,1.32017,1.14177,0.0008384,0.0008384,0.0008384
90,420.078,2.7143,1.29277,0.91749,0.5277,0.54238,0.42123,0.10074,2.77165,1.35788,1.13767,0.0008252,0.0008252,0.0008252
91,424.379,2.75933,1.49949,0.84674,0.57236,0.53874,0.46253,0.10982,2.7626,1.46609,1.14149,0.000812,0.000812,0.000812
92,430.068,2.85927,1.37641,0.91468,0.58004,0.54371,0.47547,0.11143,2.757,1.48961,1.14568,0.0007988,0.0007988,0.0007988
93,433.972,2.26703,1.11846,0.84063,0.58711,0.55018,0.4816,0.11427,2.75036,1.47314,1.14714,0.0007856,0.0007856,0.0007856
94,438.371,2.37955,1.30813,0.94502,0.58711,0.55018,0.4816,0.11427,2.75036,1.47314,1.14714,0.0007724,0.0007724,0.0007724
95,442.77,3.19261,1.45908,0.82478,0.58086,0.5481,0.47583,0.11304,2.74329,1.39787,1.14235,0.0007592,0.0007592,0.0007592
96,447.177,2.19394,1.19421,0.85147,0.54873,0.47374,0.40541,0.09619,2.79568,1.36566,1.14237,0.000746,0.000746,0.000746
97,451.385,2.11608,1.22293,1.01311,0.44941,0.39522,0.26363,0.06066,2.92931,1.31305,1.18269,0.0007328,0.0007328,0.0007328
98,455.833,2.70688,1.28029,0.94616,0.4014,0.36788,0.22225,0.05032,2.98886,1.29805,1.21477,0.0007196,0.0007196,0.0007196
99,460.027,2.8418,1.24221,0.89713,0.42586,0.42174,0.25943,0.05709,2.96095,1.29284,1.21418,0.0007064,0.0007064,0.0007064
100,464.731,3.0134,1.37242,0.91212,0.48237,0.4857,0.34637,0.07819,2.88226,1.27433,1.18616,0.0006932,0.0006932,0.0006932
101,468.939,2.42843,1.30146,0.98245,0.53665,0.5481,0.42468,0.10104,2.78816,1.26721,1.15555,0.00068,0.00068,0.00068
102,472.46,2.65683,1.15454,0.80225,0.53665,0.5481,0.42468,0.10104,2.78816,1.26721,1.15555,0.0006668,0.0006668,0.0006668
103,477.67,2.14567,1.2667,0.9311,0.55547,0.56339,0.45134,0.10944,2.7461,1.28737,1.12867,0.0006536,0.0006536,0.0006536
104,482.184,2.33752,1.21546,0.93522,0.5418,0.53614,0.42597,0.10041,2.7493,1.29557,1.12449,0.0006404,0.0006404,0.0006404
105,486.468,2.95917,1.35332,0.87534,0.50782,0.49558,0.36272,0.08695,2.77939,1.29007,1.13228,0.0006272,0.0006272,0.0006272
106,490.902,2.54632,1.23748,0.9129,0.46311,0.44826,0.30113,0.07215,2.82522,1.28708,1.13779,0.000614,0.000614,0.000614
107,495.243,2.72227,1.37636,0.95672,0.46751,0.43734,0.29296,0.06904,2.84947,1.28546,1.14297,0.0006008,0.0006008,0.0006008
108,499.705,2.8372,1.24794,0.86953,0.45664,0.43318,0.28435,0.06647,2.87294,1.28059,1.14973,0.0005876,0.0005876,0.0005876
109,503.86,2.38955,1.2184,0.87647,0.50336,0.47738,0.34569,0.07886,2.83902,1.27439,1.1431,0.0005744,0.0005744,0.0005744
110,508.336,2.36278,1.2324,0.93985,0.50336,0.47738,0.34569,0.07886,2.83902,1.27439,1.1431,0.0005612,0.0005612,0.0005612
111,513.369,2.58215,1.37456,0.91549,0.51724,0.49308,0.37182,0.08223,2.82789,1.27836,1.14208,0.000548,0.000548,0.000548
112,517.684,2.42185,1.36378,0.93824,0.50534,0.4883,0.3665,0.07948,2.82564,1.29035,1.13633,0.0005348,0.0005348,0.0005348
113,522.327,2.49834,1.37793,0.91777,0.4424,0.4229,0.2772,0.0605,2.86968,1.30243,1.14836,0.0005216,0.0005216,0.0005216
114,526.245,2.75793,1.36185,0.89849,0.37772,0.36037,0.18971,0.04477,2.92828,1.31566,1.16553,0.0005084,0.0005084,0.0005084
115,530.269,2.86523,1.28536,0.87222,0.36648,0.34564,0.17519,0.0412,2.95387,1.32456,1.17308,0.0004952,0.0004952,0.0004952
116,534.569,2.96105,1.38047,0.83053,0.39746,0.37129,0.20951,0.04734,2.93214,1.33092,1.16613,0.000482,0.000482,0.000482
117,538.875,2.67112,1.23299,0.90077,0.47598,0.43578,0.29358,0.06163,2.88737,1.30398,1.15391,0.0004688,0.0004688,0.0004688
118,543.135,2.62848,1.32317,0.91536,0.47598,0.43578,0.29358,0.06163,2.88737,1.30398,1.15391,0.0004556,0.0004556,0.0004556
119,547.507,2.4604,1.30572,0.96414,0.53916,0.49246,0.3741,0.08164,2.83577,1.27985,1.14561,0.0004424,0.0004424,0.0004424
120,552.078,2.5864,1.40996,0.81175,0.59107,0.53874,0.44532,0.10402,2.77843,1.29576,1.13855,0.0004292,0.0004292,0.0004292
121,556.535,2.50682,1.25606,0.87969,0.58668,0.54758,0.45362,0.10838,2.76929,1.28961,1.14183,0.000416,0.000416,0.000416
122,560.223,2.76448,1.2831,0.84178,0.60155,0.55741,0.47836,0.11333,2.76449,1.29745,1.14507,0.0004028,0.0004028,0.0004028
123,564.915,2.34281,1.23434,0.93351,0.56605,0.52706,0.44031,0.10441,2.78709,1.3074,1.15102,0.0003896,0.0003896,0.0003896
124,569.661,2.65056,1.25349,0.9141,0.54047,0.51534,0.41117,0.09688,2.79721,1.31482,1.15518,0.0003764,0.0003764,0.0003764
125,573.992,2.59207,1.22102,0.92536,0.53618,0.49558,0.39542,0.09219,2.8011,1.31436,1.15451,0.0003632,0.0003632,0.0003632
126,578.964,2.16985,1.18293,0.99402,0.53618,0.49558,0.39542,0.09219,2.8011,1.31436,1.15451,0.00035,0.00035,0.00035
127,583.652,2.1779,1.17462,0.96321,0.48152,0.46267,0.32184,0.0776,2.81512,1.29691,1.15906,0.0003368,0.0003368,0.0003368
